Date,PM10,NOx,SO2
01-01-2016,62,14.0,3.0
01-02-2016,68,14.0,3.0
01-03-2016,71,14.0,3.0
01-04-2016,70,14.5,3.5
01-05-2016,69,15.0,3.5
01-06-2016,66,15.0,4.0
01-07-2016,60,16.0,4.0
01-08-2016,61,17.0,4.0
01-09-2016,58,18.0,5.0
01-10-2016,67,22.0,5.0
01-11-2016,63,20.0,5.0
01-12-2016,65,21.0,5.0
01-01-2017,64,21.0,5.0
01-02-2017,64,21.0,5.0
01-03-2017,68,20.0,6.0
01-04-2017,69,20.0,5.0
01-05-2017,71,19.0,5.0
01-06-2017,66,20.0,4.0
01-07-2017,61,21.0,5.0
01-08-2017,61,21.0,5.0
01-09-2017,61,21.0,5.0
01-10-2017,62,22.0,5.0
01-11-2017,63,21.0,6.0
01-12-2017,64,21.0,6.0
01-01-2018,66,21.3,6.1
01-02-2018,67,21.5,6.2
01-03-2018,70,21.3,6.0
01-04-2018,74,22.1,6.0
01-05-2018,74,22.4,5.9
01-06-2018,69,22.4,5.8
01-07-2018,64,22.4,5.9
01-08-2018,64,22.4,5.7
01-09-2018,61,23.9,5.7
01-10-2018,67,25.8,5.9
01-11-2018,71,26.8,6.3
01-12-2018,81,24.9,5.7
01-01-2019,74,24.8,5.9
01-02-2019,75,24.8,6.0
01-03-2019,76,24.5,5.7
01-04-2019,77,24.3,5.7
01-05-2019,80,24.8,5.2
01-06-2019,75,25.7,5.4
01-07-2019,76,26.0,5.5
01-08-2019,77,24.3,4.7
01-09-2019,57,23.5,4.4
01-10-2019,72,24.9,4.7
01-11-2019,75,24.6,4.5
01-12-2019,73,25.7,5.2
01-01-2020,78,27.6,5.8
01-02-2020,82,26.6,5.6
01-03-2020,71,22.2,4.7
01-04-2020,52,15.8,2.0
01-05-2020,63.5,20.0,3.4
01-06-2020,75,24.2,4.7
01-07-2020,74,24.0,5.5
01-08-2020,72,21.5,4.6
01-09-2020,72,23.7,5.3
01-10-2020,72,23.8,5.3
01-11-2020,67,23.4,5.2
01-12-2020,67,23.4,5.2
01-01-2021,67,23.4,5.2
01-02-2021,62,23.0,5.1
01-03-2021,73,25.2,6.6
01-04-2021,74,25.4,6.1
01-05-2021,67,23.0,6.0
01-06-2021,76,24.0,5.8
01-07-2021,74,25.0,6.0
01-08-2021,73,26.0,6.2
01-09-2021,73,24,6.5
01-10-2021,73,24,6.8
01-11-2021,68,25,7.1
01-12-2021,68,24,7.3
01-01-2022,69,24.0,7.5
01-02-2022,64,24.0,7.8
01-03-2022,56,25.6,8.2
01-04-2022,65,28.2,9.5
01-05-2022,60,26.5,7.9
01-06-2022,57,25.0,8.6
01-07-2022,48,23.1,6.8
01-08-2022,56,26.2,8.5
01-09-2022,54,27.5,9.7
01-10-2022,62,29.3,10.9
01-11-2022,58,26.4,7.5
01-12-2022,62,25.3,9.5
