Date,PM10,NOx,SO2
01-01-2016,69,22.0,8.0
01-02-2016,59,25.0,9.0
01-03-2016,42,32.1,7.7
01-04-2016,62,29.0,7.0
01-05-2016,52,21.0,5.0
01-06-2016,47,19.0,5.0
01-07-2016,23,20.0,4.0
01-08-2016,33,20.0,6.0
01-09-2016,29,23.0,6.0
01-10-2016,50,23.0,6.0
01-11-2016,69,23.0,7.0
01-12-2016,83,26.0,7.0
01-01-2017,84,25.0,7.0
01-02-2017,75,31.0,7.0
01-03-2017,86,26.0,8.0
01-04-2017,79,26.0,8.0
01-05-2017,82,27.0,7.0
01-06-2017,59,22.0,6.6
01-07-2017,51,27.0,7.0
01-08-2017,56,26.0,6.0
01-09-2017,62,22.0,7.0
01-10-2017,69,32.0,8.0
01-11-2017,91,22.0,7.0
01-12-2017,90,26.7,7.7
01-01-2018,117,38.5,7.9
01-02-2018,88,45.8,6.5
01-03-2018,89,36.3,7.4
01-04-2018,102,40.0,8.7
01-05-2018,100,41.9,8.8
01-06-2018,101,39.0,9.1
01-07-2018,89,33.6,8.7
01-08-2018,91,38.9,7.6
01-09-2018,101,40.2,9.1
01-10-2018,98,34.0,9.0
01-11-2018,110,44.2,9.5
01-12-2018,100,40.2,9.3
01-01-2019,107,54.4,10.7
01-02-2019,103,58.4,10.7
01-03-2019,105,57.8,10.4
01-04-2019,113,61.2,10.4
01-05-2019,105,58.9,10.2
01-06-2019,100,50.5,9.1
01-07-2019,100,47.8,9.1
01-08-2019,102,51.8,8.5
01-09-2019,97,51.2,8.0
01-10-2019,104,50.1,7.4
01-11-2019,107,52.4,7.1
01-12-2019,119,56.2,6.8
01-01-2020,116,52.5,6.1
01-02-2020,121,56.3,6.4
01-03-2020,115,49.3,6.5
01-04-2020,33,38.0,7.0
01-05-2020,72,45.2,7.8
01-06-2020,55,37.1,8.4
01-07-2020,124,48.1,9.0
01-08-2020,70,43.0,8.0
01-09-2020,99,43.3,7.7
01-10-2020,156,38.9,7.8
01-11-2020,120,64.8,7.0
01-12-2020,114,45.6,8.0
01-01-2021,114,56.6,7.1
01-02-2021,116,47.0,7.1
01-03-2021,65,41.7,8.2
01-04-2021,72,40.7,8.2
01-05-2021,68,42.4,8.3
01-06-2021,69,39.7,7.9
01-07-2021,57,32.4,6.6
01-08-2021,64,32.4,6.9
01-09-2021,66,34.7,6.7
01-10-2021,68,35.3,7.2
01-11-2021,73,34.2,6.8
01-12-2021,83,30.9,7.9
01-01-2022,82,30.3,7.8
01-02-2022,92,27.9,6.4
01-03-2022,99,26.7,6.8
01-04-2022,70,28.4,8.0
01-05-2022,78,26.8,6.3
01-06-2022,92,32.0,6.4
01-07-2022,69,29.3,7.0
01-08-2022,55,27.4,6.0
01-09-2022,58,29.9,6.7
01-10-2022,62,30.6,6.7
01-11-2022,103,26.1,6.2
01-12-2022,139,32.7,6.2
