Date,PM10,NOx,SO2
01-01-2016,67,16,3
01-02-2016,64,15,3
01-03-2016,66,16,3
01-04-2016,68,15,4
01-05-2016,71,15,4
01-06-2016,61,15,4
01-07-2016,57,17,4
01-08-2016,58,18,5
01-09-2016,56,18,5
01-10-2016,64,22,6
01-11-2016,60,21,5
01-12-2016,62,21,5
01-01-2017,61,20,5
01-02-2017,62,20,5
01-03-2017,63,21,5
01-04-2017,67,20,5
01-05-2017,68,20,5
01-06-2017,63,20,5
01-07-2017,57,21,5
01-08-2017,59,21,5
01-09-2017,60,21,5
01-10-2017,59,21,6
01-11-2017,59,21,6
01-12-2017,59,22,6
01-01-2018,61,22.4,6
01-02-2018,61,22.4,6
01-03-2018,66,22.2,5.9
01-04-2018,70,21.8,5.9
01-05-2018,47,22.6,5.9
01-06-2018,64,22.3,5.9
01-07-2018,59,22.5,5.7
01-08-2018,60,22.4,5.6
01-09-2018,64,23.1,5.8
01-10-2018,48,23.6,6.2
01-11-2018,56,25,5.6
01-12-2018,62,24.6,5.7
01-01-2019,64,24.3,5.5
01-02-2019,61,24.9,5.6
01-03-2019,61,24.4,5.6
01-04-2019,62,23.4,5.6
01-05-2019,64,25,5.5
01-06-2019,64,26,5.7
01-07-2019,64,25.6,5.4
01-08-2019,65,24.4,4.8
01-09-2019,61,23.5,4.4
01-10-2019,64,25.2,4.8
01-11-2019,62,24.7,4.6
01-12-2019,63,25.9,5.4
01-01-2020,60,27.3,5.5
01-02-2020,60,26.6,5.5
01-03-2020,62,25.3,5.2
01-04-2020,63,25.3,5.2
01-05-2020,60,25.3,5.2
01-06-2020,52,24.1,4.9
01-07-2020,63,25.8,5.2
01-08-2020,60,22.2,4.7
01-09-2020,60,24.8,5.4
01-10-2020,62,24.7,5.2
01-11-2020,62,25.9,6.1
01-12-2020,71,26.4,6
01-01-2021,68,24.7,5.8
01-02-2021,67,23.4,5.1
01-03-2021,66,24.8,5.7
01-04-2021,67,25.1,5.3
01-05-2021,60,26,6
01-06-2021,57,25.4,5.9
01-07-2021,54,24.8,5.7
01-08-2021,45,22.4,5.3
01-09-2021,43,23.1,5
01-10-2021,59,27.3,6.2
01-11-2021,66,26.7,6.4
01-12-2021,57,25.5,5.8
01-01-2022,56,25.5,6.9
01-02-2022,59,27.5,7.5
01-03-2022,64,26.1,6.6
01-04-2022,58,24,7.8
01-05-2022,56,24.6,7.3
01-06-2022,52,23.4,6
01-07-2022,46,21.3,5.5
01-08-2022,52,23.3,6.7
01-09-2022,51,25,7.9
01-10-2022,61,27.4,8.6
01-11-2022,56,25,6.8
01-12-2022,60,22.6,7.5
