Date,PM10,NOx,SO2
01-01-2016,76,26,7
01-02-2016,72,19,7
01-03-2016,63,21.8,7.1
01-04-2016,73,20,7
01-05-2016,84,19,8
01-06-2016,68,22,7
01-07-2016,56,20,7
01-08-2016,36,28,7
01-09-2016,52,20,7
01-10-2016,61,22,7
01-11-2016,83,22,6
01-12-2016,84,30,8
01-01-2017,76,25,8
01-02-2017,79,27,8
01-03-2017,71,27,8
01-04-2017,72,28,8
01-05-2017,68,27,8
01-06-2017,61,23.6,7.1
01-07-2017,41,26,6
01-08-2017,58,22,6
01-09-2017,54,20,6
01-10-2017,62,24,9
01-11-2017,76,27,7
01-12-2017,78,27.3,7.2
01-01-2018,97,28.5,7
01-02-2018,98,39.1,7
01-03-2018,80,32,7.1
01-04-2018,82,36.3,8.2
01-05-2018,81,41.2,8.5
01-06-2018,84,38.2,8.7
01-07-2018,70,38.8,36.1
01-08-2018,73,35.7,8.6
01-09-2018,80,38,8.6
01-10-2018,89,38.6,9.1
01-11-2018,96,46.7,9.6
01-12-2018,88,42.1,9.5
01-01-2019,91,54.5,10.3
01-02-2019,91,56,10.1
01-03-2019,92,54.6,10.2
01-04-2019,89,54,10.1
01-05-2019,93,55.2,9.5
01-06-2019,86,47.6,8.6
01-07-2019,87,45.8,8.5
01-08-2019,80,47.3,8.4
01-09-2019,73,46.9,7.9
01-10-2019,85,48.4,7.4
01-11-2019,91,50.9,7.1
01-12-2019,87,50.5,6.6
01-01-2020,89,49.2,6
01-02-2020,88,51.1,6.2
01-03-2020,74,38.1,5.9
01-04-2020,26,38,6
01-05-2020,58,39.3,6.8
01-06-2020,56,32.2,7.1
01-07-2020,48,44.9,8.6
01-08-2020,49,45,7
01-09-2020,39,40.7,7.2
01-10-2020,54,38.1,7.2
01-11-2020,93,53.5,6.8
01-12-2020,93,35.2,7.4
01-01-2021,81,42.2,6.4
01-02-2021,88,47.4,6.9
01-03-2021,75,36.3,7.7
01-04-2021,71,34,8.9
01-05-2021,45,32,8.5
01-06-2021,83,30.8,8
01-07-2021,57,28.7,5.8
01-08-2021,60,32.7,6.8
01-09-2021,55,31.2,7.3
01-10-2021,64,32.5,8.1
01-11-2021,65,34.3,8.3
01-12-2021,69,31,7.3
01-01-2022,73,31.8,7.1
01-02-2022,73,31,8.4
01-03-2022,76,33.1,8
01-04-2022,60,34.2,7.6
01-05-2022,77,34.2,7.8
01-06-2022,85,34.7,7.5
01-07-2022,47,30.2,7.2
01-08-2022,56,26.6,6.5
01-09-2022,48,29.9,7.1
01-10-2022,63,32.2,7.9
01-11-2022,95,35,7.6
01-12-2022,95,32.6,8.3
