ds,yhat1
01-01-2023,30.95018768
02-01-2023,30.79878235
03-01-2023,30.92119217
04-01-2023,31.15109253
05-01-2023,30.99410629
06-01-2023,30.96630096
07-01-2023,31.06670761
08-01-2023,31.21525574
09-01-2023,31.08423233
10-01-2023,31.22579765
11-01-2023,31.47364426
12-01-2023,31.33342361
13-01-2023,31.32123566
14-01-2023,31.43615913
15-01-2023,31.59816933
16-01-2023,31.47961426
17-01-2023,31.63272285
18-01-2023,31.89125824
19-01-2023,31.76093864
20-01-2023,31.75794411
21-01-2023,31.88142395
22-01-2023,32.05144119
23-01-2023,31.94040871
24-01-2023,32.10063553
25-01-2023,32.36594391
26-01-2023,32.24212646
27-01-2023,32.24541473
28-01-2023,32.37502289
29-01-2023,32.55104446
30-01-2023,32.44594193
31-01-2023,32.61204529
01-02-2023,32.88320541
02-02-2023,32.76522827
03-02-2023,32.7743454
04-02-2023,32.90975952
05-02-2023,33.09156036
06-02-2023,32.9921875
07-02-2023,33.16393661
08-02-2023,33.44062424
09-02-2023,33.32800293
10-02-2023,33.34225845
11-02-2023,33.48254395
12-02-2023,33.66887283
13-02-2023,33.57362747
14-02-2023,33.74904251
15-02-2023,34.02885056
16-02-2023,33.91875458
17-02-2023,33.93486023
18-02-2023,34.07625961
19-02-2023,34.26291275
20-02-2023,34.16712952
21-02-2023,34.3411026
22-02-2023,34.61852264
23-02-2023,34.50505066
24-02-2023,34.51677322
25-02-2023,34.65275574
26-02-2023,34.83295441
27-02-2023,34.72969055
28-02-2023,34.89515686
01-03-2023,35.16309357
02-03-2023,35.03917694
03-03-2023,35.03956223
04-03-2023,35.16337204
05-03-2023,35.33063889
06-03-2023,35.21377182
07-03-2023,35.36506653
08-03-2023,35.6183548
09-03-2023,35.47945786
10-03-2023,35.46463776
11-03-2023,35.57315826
12-03-2023,35.72518539
13-03-2023,35.59328461
14-03-2023,35.72989273
15-03-2023,35.96899414
16-03-2023,35.81655884
17-03-2023,35.78899765
18-03-2023,35.88572693
19-03-2023,36.02706146
20-03-2023,35.88568115
21-03-2023,36.01416779
22-03-2023,36.24662399
23-03-2023,36.08912277
24-03-2023,36.05817795
25-03-2023,36.15327454
26-03-2023,36.29480362
27-03-2023,36.15549469
28-03-2023,36.28796387
29-03-2023,36.5263176
30-03-2023,36.37663269
31-03-2023,36.35539627
01-04-2023,36.46205139
02-04-2023,36.61692047
03-04-2023,36.49264908
04-04-2023,36.64174652
05-04-2023,36.89820099
06-04-2023,36.76793671
07-04-2023,36.76728439
08-04-2023,36.89550781
09-04-2023,37.07272339
10-04-2023,36.97138214
11-04-2023,37.14375305
12-04-2023,37.42359924
13-04-2023,37.31659698
14-04-2023,37.33882141
15-04-2023,37.48927307
16-04-2023,37.68781281
17-04-2023,37.60661316
18-04-2023,37.79769516
19-04-2023,38.09455109
20-04-2023,38.00259399
21-04-2023,38.03765488
22-04-2023,38.19849396
23-04-2023,38.40474701
24-04-2023,38.32837677
25-04-2023,38.52118683
26-04-2023,38.81650543
27-04-2023,38.7195816
28-04-2023,38.74610519
29-04-2023,38.8947258
30-04-2023,39.08498001
01-05-2023,38.98876572
02-05-2023,39.15785217
03-05-2023,39.42555237
04-05-2023,39.29712677
05-05-2023,39.28831482
06-05-2023,39.39782715
07-05-2023,39.54530334
08-05-2023,39.40276337
09-05-2023,39.52213669
10-05-2023,39.73690033
11-05-2023,39.55252457
12-05-2023,39.48497009
13-05-2023,39.53319931
14-05-2023,39.61711121
15-05-2023,39.40901947
16-05-2023,39.46114349
17-05-2023,39.60728073
18-05-2023,39.35323334
19-05-2023,39.21528625
20-05-2023,39.19275284
21-05-2023,39.20587921
22-05-2023,38.92731857
23-05-2023,38.9096489
24-05-2023,38.98700714
25-05-2023,38.66552734
26-05-2023,38.46183395
27-05-2023,38.37555695
28-05-2023,38.32724762
29-05-2023,37.98984528
30-05-2023,37.91620636
31-05-2023,37.94072723
01-06-2023,37.569767
02-06-2023,37.32016754
03-06-2023,37.19173813
04-06-2023,37.10519409
05-06-2023,36.73361969
06-06-2023,36.62997437
07-06-2023,36.62873459
08-06-2023,36.2363205
09-06-2023,35.96959686
10-06-2023,35.82837677
11-06-2023,35.73334503
12-06-2023,35.35754395
13-06-2023,35.25383759
14-06-2023,35.25661469
15-06-2023,34.87216568
16-06-2023,34.61721039
17-06-2023,34.49139404
18-06-2023,34.41521835
19-06-2023,34.06151581
20-06-2023,33.98294449
21-06-2023,34.01365662
22-06-2023,33.65970612
23-06-2023,33.43756104
24-06-2023,33.34661484
25-06-2023,33.30711365
26-06-2023,32.99163055
27-06-2023,32.95255661
28-06-2023,33.02378845
29-06-2023,32.71112823
30-06-2023,32.53079987
01-07-2023,32.48195648
02-07-2023,32.4846077
03-07-2023,32.21110916
04-07-2023,32.21365738
05-07-2023,32.32595062
06-07-2023,32.05361938
07-07-2023,31.91272354
08-07-2023,31.90226555
09-07-2023,31.94214249
10-07-2023,31.70459747
11-07-2023,31.74173737
12-07-2023,31.88718224
13-07-2023,31.64651108
14-07-2023,31.53574371
15-07-2023,31.55387115
16-07-2023,31.62078094
17-07-2023,31.40872574
18-07-2023,31.46983337
19-07-2023,31.63777542
20-07-2023,31.41817665
21-07-2023,31.32711792
22-07-2023,31.36366463
23-07-2023,31.44778061
24-07-2023,31.25181198
25-07-2023,31.32797813
26-07-2023,31.5100441
27-07-2023,31.30373383
28-07-2023,31.22523117
29-07-2023,31.27369881
30-07-2023,31.36920166
31-07-2023,31.1841774
01-08-2023,31.27093887
02-08-2023,31.46332932
03-08-2023,31.26716232
04-08-2023,31.19868851
05-08-2023,31.25713158
06-08-2023,31.36261368
07-08-2023,31.18761444
08-08-2023,31.28449059
09-08-2023,31.48711014
10-08-2023,31.30129623
11-08-2023,31.24330902
12-08-2023,31.31237221
13-08-2023,31.42859459
14-08-2023,31.26443672
15-08-2023,31.37221909
16-08-2023,31.58577728
17-08-2023,31.41088867
