ds,yhat1
01-01-2023,34.63220215
02-01-2023,34.4936676
03-01-2023,34.59719086
04-01-2023,34.76660538
05-01-2023,34.74170303
06-01-2023,34.62068558
07-01-2023,34.80200577
08-01-2023,34.9612236
09-01-2023,34.83045959
10-01-2023,34.94068527
11-01-2023,35.1157608
12-01-2023,35.0955162
13-01-2023,34.97819901
14-01-2023,35.162323
15-01-2023,35.3235054
16-01-2023,35.19393921
17-01-2023,35.30467987
18-01-2023,35.47966003
19-01-2023,35.45879745
20-01-2023,35.34043121
21-01-2023,35.52317047
22-01-2023,35.68271637
23-01-2023,35.55136108
24-01-2023,35.6602478
25-01-2023,35.83341217
26-01-2023,35.81084824
27-01-2023,35.69098663
28-01-2023,35.87250519
29-01-2023,36.03119659
30-01-2023,35.89941025
31-01-2023,36.00835419
01-02-2023,36.18210983
02-02-2023,36.16072464
03-02-2023,36.04266357
04-02-2023,36.22663116
05-02-2023,36.38843536
06-02-2023,36.2604332
07-02-2023,36.37382889
08-02-2023,36.5526886
09-02-2023,36.53704071
10-02-2023,36.42531204
11-02-2023,36.61616898
12-02-2023,36.78536224
13-02-2023,36.66519547
14-02-2023,36.78679657
15-02-2023,36.97415924
16-02-2023,36.96723557
17-02-2023,36.86435699
18-02-2023,37.06410217
19-02-2023,37.24212265
20-02-2023,37.13062668
21-02-2023,37.26064301
22-02-2023,37.45606613
23-02-2023,37.45674133
24-02-2023,37.36091232
25-02-2023,37.56705475
26-02-2023,37.75073242
27-02-2023,37.64406586
28-02-2023,37.77801132
01-03-2023,37.97638702
02-03-2023,37.97896957
03-03-2023,37.88395309
04-03-2023,38.08976746
05-03-2023,38.27194595
06-03-2023,38.16257858
07-03-2023,38.29260635
08-03-2023,38.4858551
09-03-2023,38.48210907
10-03-2023,38.37957764
11-03-2023,38.57673645
12-03-2023,38.74915695
13-03-2023,38.62899017
14-03-2023,38.74725342
15-03-2023,38.92783356
16-03-2023,38.91062546
17-03-2023,38.79393005
18-03-2023,38.97632599
19-03-2023,39.13350296
20-03-2023,38.99773407
21-03-2023,39.10015869
22-03-2023,39.26480103
23-03-2023,39.23167801
24-03-2023,39.09923553
25-03-2023,39.26618195
26-03-2023,39.40833664
27-03-2023,39.25811005
28-03-2023,39.34676361
29-03-2023,39.49844742
30-03-2023,39.45328903
31-03-2023,39.30984116
01-04-2023,39.46690369
02-04-2023,39.60039902
03-04-2023,39.4427948
04-04-2023,39.52542496
05-04-2023,39.67248535
06-04-2023,39.62414551
07-04-2023,39.47896957
08-04-2023,39.63577652
09-04-2023,39.77046204
10-04-2023,39.61548996
11-04-2023,39.70213318
12-04-2023,39.85453796
13-04-2023,39.81280518
14-04-2023,39.67541122
15-04-2023,39.84107208
16-04-2023,39.98556519
17-04-2023,39.84121704
18-04-2023,39.93917847
19-04-2023,40.1034317
20-04-2023,40.07391357
21-04-2023,39.94892883
22-04-2023,40.12701416
23-04-2023,40.2837677
24-04-2023,40.15132904
25-04-2023,40.26064301
26-04-2023,40.43551254
27-04-2023,40.4156723
28-04-2023,40.29924774
29-04-2023,40.48457336
30-04-2023,40.64707947
01-05-2023,40.51872253
02-05-2023,40.63029099
03-05-2023,40.80542374
04-05-2023,40.78372192
05-05-2023,40.66316223
06-05-2023,40.84199524
07-05-2023,40.99552536
08-05-2023,40.8556366
09-05-2023,40.95304871
10-05-2023,41.11135864
11-05-2023,41.07012939
12-05-2023,40.92734909
13-05-2023,41.08126068
14-05-2023,41.20720673
15-05-2023,41.03713226
16-05-2023,41.10181808
17-05-2023,41.22496033
18-05-2023,41.1462326
19-05-2023,40.96374893
20-05-2023,41.07589722
21-05-2023,41.1581955
22-05-2023,40.94276047
23-05-2023,40.96057129
24-05-2023,41.03553009
25-05-2023,40.90753174
26-05-2023,40.67491913
27-05-2023,40.73632431
28-05-2023,40.76750565
29-05-2023,40.5008316
30-05-2023,40.46753693
31-05-2023,40.49177551
01-06-2023,40.31371307
02-06-2023,40.03192902
03-06-2023,40.0453186
04-06-2023,40.02988434
05-06-2023,39.71822739
06-06-2023,39.64181519
07-06-2023,39.62502289
08-06-2023,39.40821075
09-06-2023,39.090168
10-06-2023,39.06995773
