,ds,y
45925,01-01-2018,33.2
45926,01-02-2018,34.3
45927,01-03-2018,33.2
45928,01-04-2018,33.4
45929,01-05-2018,32.9
45930,01-06-2018,32.8
45931,01-07-2018,33.7
45932,01-08-2018,34.18
45933,01-09-2018,32.8
45934,01-10-2018,31.1
45935,01-11-2018,32.8
45936,01-12-2018,34.7
45937,13-01-2018,34.7
45938,14-01-2018,34.6
45939,15-01-2018,34.3
45940,16-01-2018,34.4
45941,17-01-2018,35.3
45942,18-01-2018,35.4
45943,19-01-2018,34.8
45944,20-01-2018,33.9
45945,21-01-2018,32.6
45946,22-01-2018,33.4
45947,23-01-2018,31.6
45948,24-01-2018,33.2
45949,25-01-2018,33.6
45950,26-01-2018,32.2
45951,27-01-2018,33.6
45952,28-01-2018,33.8
45953,29-01-2018,32.6
45954,30-01-2018,33.6
45955,31-01-2018,33.1
45956,02-01-2018,35.2
45957,02-02-2018,34.5
45958,02-03-2018,36
45959,02-04-2018,34.7
45960,02-05-2018,34.8
45961,02-06-2018,34.3
45962,02-07-2018,34.5
45963,02-08-2018,32.7
45964,02-09-2018,35.9
45965,02-10-2018,35.3
45966,02-11-2018,32.1
45967,02-12-2018,34.6
45968,13-02-2018,34.6
45969,14-02-2018,34.6
45970,15-02-2018,34.6
45971,16-02-2018,34.6
45972,17-02-2018,34.8
45973,18-02-2018,35.9
45974,19-02-2018,35.5
45975,20-02-2018,35.1
45976,21-02-2018,35
45977,22-02-2018,37.2
45978,23-02-2018,37.2
45979,24-02-2018,37.2
45980,25-02-2018,37.3
45981,26-02-2018,37.2
45982,27-02-2018,34.6
45983,28-02-2018,35.3
45984,03-01-2018,35.7
45985,03-02-2018,36.4
45986,03-03-2018,36.7
45987,03-04-2018,36.2
45988,03-05-2018,35.8
45989,03-06-2018,35.5
45990,03-07-2018,35.5
45991,03-08-2018,34.6
45992,03-09-2018,35.3
45993,03-10-2018,34.8
45994,03-11-2018,34.2
45995,03-12-2018,33.4
45996,13-03-2018,35.5
45997,14-03-2018,36.2
45998,15-03-2018,37.7
45999,16-03-2018,35.6
46000,17-03-2018,29.2
46001,18-03-2018,31.8
46002,19-03-2018,35.6
46003,20-03-2018,35.3
46004,21-03-2018,36.9
46005,22-03-2018,37.3
46006,23-03-2018,37.2
46007,24-03-2018,40.3
46008,25-03-2018,39
46009,26-03-2018,37.7
46010,27-03-2018,37.8
46011,28-03-2018,37.8
46012,29-03-2018,37.8
46013,30-03-2018,39.5
46014,31-03-2018,38.7
46015,04-01-2018,37.2
46016,04-02-2018,35.9
46017,04-03-2018,37.9
46018,04-04-2018,39
46019,04-05-2018,38.3
46020,04-06-2018,37.8
46021,04-07-2018,38.3
46022,04-08-2018,38.6
46023,04-09-2018,37.2
46024,04-10-2018,37.8
46025,04-11-2018,37.8
46026,04-12-2018,38.5
46027,13-04-2018,38.6
46028,14-04-2018,38.7
46029,15-04-2018,38.2
46030,16-04-2018,37.3
46031,17-04-2018,40.3
46032,18-04-2018,40.6
46033,19-04-2018,40.5
46034,20-04-2018,40.6
46035,21-04-2018,42.7
46036,22-04-2018,42
46037,23-04-2018,42.4
46038,24-04-2018,42.5
46039,25-04-2018,43.1
46040,26-04-2018,42.5
46041,27-04-2018,42.5
46042,28-04-2018,42.9
46043,29-04-2018,42.1
46044,30-04-2018,42.6
46045,05-01-2018,43.8
46046,05-02-2018,42.5
46047,05-03-2018,42.6
46048,05-04-2018,38.4
46049,05-05-2018,40.6
46050,05-06-2018,42.5
46051,05-07-2018,41.4
46052,05-08-2018,42.5
46053,05-09-2018,42
46054,05-10-2018,42
46055,05-11-2018,41.9
46056,05-12-2018,43.4
46057,13-05-2018,42.7
46058,14-05-2018,38.4
46059,15-05-2018,41.4
46060,16-05-2018,40.5
46061,17-05-2018,42.7
46062,18-05-2018,42.8
46063,19-05-2018,42.8
46064,20-05-2018,44.5
46065,21-05-2018,44.3
46066,22-05-2018,41.9
46067,23-05-2018,42.4
46068,24-05-2018,42.5
46069,25-05-2018,43.2
46070,26-05-2018,42.9
46071,27-05-2018,41.8
46072,28-05-2018,42.6
46073,29-05-2018,43.8
46074,30-05-2018,44.7
46075,31-05-2018,43.5
46076,06-01-2018,41.3
46077,06-02-2018,42.7
46078,06-03-2018,33.9
46079,06-04-2018,42.7
46080,06-05-2018,42.5
46081,06-06-2018,39.5
46082,06-07-2018,41.4
46083,06-08-2018,39.4
46084,06-09-2018,35
46085,06-10-2018,37.3
46086,06-11-2018,37.5
46087,06-12-2018,32.3
46088,13-06-2018,37.5
46089,14-06-2018,38.7
46090,15-06-2018,37.9
46091,16-06-2018,39.6
46092,17-06-2018,38.7
46093,18-06-2018,39.2
46094,19-06-2018,38.7
46095,20-06-2018,38.7
46096,21-06-2018,39.4
46097,22-06-2018,39.8
46098,23-06-2018,37.6
46099,24-06-2018,35.5
46100,25-06-2018,35.2
46101,26-06-2018,33.3
46102,27-06-2018,34.1
46103,28-06-2018,36
46104,29-06-2018,30
46105,30-06-2018,35
46106,07-01-2018,36.3
46107,07-02-2018,35.7
46108,07-03-2018,35.9
46109,07-04-2018,34.4
46110,07-05-2018,37.1
46111,07-06-2018,37
46112,07-07-2018,32.3
46113,07-08-2018,32.3
46114,07-09-2018,25.6
46115,07-10-2018,29.7
46116,07-11-2018,31.6
46117,07-12-2018,32.5
46118,13-07-2018,30.9
46119,14-07-2018,34.8
46120,15-07-2018,32.3
46121,16-07-2018,32.3
46122,17-07-2018,30.4
46123,18-07-2018,33.5
46124,19-07-2018,35.5
46125,20-07-2018,36.1
46126,21-07-2018,34.1
46127,22-07-2018,30.5
46128,23-07-2018,30.1
46129,24-07-2018,32.3
46130,25-07-2018,32.4
46131,26-07-2018,34.4
46132,27-07-2018,32.3
46133,28-07-2018,35.8
46134,29-07-2018,34.8
46135,30-07-2018,34.8
46136,31-07-2018,36
46137,08-01-2018,34.8
46138,08-02-2018,36
46139,08-03-2018,34.8
46140,08-04-2018,37.4
46141,08-05-2018,37.4
46142,08-06-2018,37.4
46143,08-07-2018,34.9
46144,08-08-2018,33
