,ds,y
234798,01-01-2018,34.7
234799,01-02-2018,35.9
234800,01-03-2018,34.2
234801,01-04-2018,34.4
234802,01-05-2018,32.9
234803,01-06-2018,35.2
234804,01-07-2018,34
234805,01-08-2018,34.1
234806,01-09-2018,32.9
234807,01-10-2018,32.4
234808,01-11-2018,32.8
234809,01-12-2018,35.9
234810,13-01-2018,34.4
234811,14-01-2018,33.7
234812,15-01-2018,34.2
234813,16-01-2018,31.7
234814,17-01-2018,35.8
234815,18-01-2018,35.7
234816,19-01-2018,34.3
234817,20-01-2018,36
234818,21-01-2018,34.7
234819,22-01-2018,34.5
234820,23-01-2018,33.9
234821,24-01-2018,34.3
234822,25-01-2018,34.4
234823,26-01-2018,34.6
234824,27-01-2018,35.7
234825,28-01-2018,35.3
234826,29-01-2018,36
234827,30-01-2018,35.9
234828,31-01-2018,35.9
234829,02-01-2018,34.8
234830,02-02-2018,35.9
234831,02-03-2018,35.8
234832,02-04-2018,35.5
234833,02-05-2018,35.5
234834,02-06-2018,35.3
234835,02-07-2018,35.6
234836,02-08-2018,35.7
234837,02-09-2018,35.4
234838,02-10-2018,32.3
234839,02-11-2018,29.7
234840,02-12-2018,35
234841,13-02-2018,35.1
234842,14-02-2018,33.3
234843,15-02-2018,33.6
234844,16-02-2018,35.3
234845,17-02-2018,36
234846,18-02-2018,34.1
234847,19-02-2018,35.1
234848,20-02-2018,35.7
234849,21-02-2018,34.2
234850,22-02-2018,35.1
234851,23-02-2018,36.9
234852,24-02-2018,36.4
234853,25-02-2018,35.2
234854,26-02-2018,35.4
234855,27-02-2018,35.7
234856,28-02-2018,37.1
234857,03-01-2018,37.6
234858,03-02-2018,36.4
234859,03-03-2018,37.3
234860,03-04-2018,37.9
234861,03-05-2018,39.9
234862,03-06-2018,39.9
234863,03-07-2018,37.6
234864,03-08-2018,37.6
234865,03-09-2018,37.4
234866,03-10-2018,37.1
234867,03-11-2018,37.5
234868,03-12-2018,37.1
234869,13-03-2018,37.9
234870,14-03-2018,39.9
234871,15-03-2018,40.1
234872,16-03-2018,37.1
234873,17-03-2018,28.7
234874,18-03-2018,33.8
234875,19-03-2018,37
234876,20-03-2018,36.4
234877,21-03-2018,37.2
234878,22-03-2018,37.8
234879,23-03-2018,37.3
234880,24-03-2018,39.9
234881,25-03-2018,37.6
234882,26-03-2018,38.2
234883,27-03-2018,38.8
234884,28-03-2018,41
234885,29-03-2018,40.2
234886,30-03-2018,40.7
234887,31-03-2018,40.2
234888,04-01-2018,40.1
234889,04-02-2018,37.8
234890,04-03-2018,37.7
234891,04-04-2018,40.2
234892,04-05-2018,40.7
234893,04-06-2018,40.1
